file	variant	changed_pixels	head_end	reason
inset_mouth_moves_1.png	cool	1298	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_2.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_2.png	tip_small	1409	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_2.png	cool	1336	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_3.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_3.png	tip_small	1352	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_3.png	cool	1408	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_4.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_4.png	tip_small	1195	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_mouth_moves_4.png	cool	1188	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_1.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_1.png	tip_small	960	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_1.png	cool	909	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_2.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_2.png	tip_small	911	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_2.png	cool	852	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_3.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_3.png	tip_small	1001	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_3.png	cool	922	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_4.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_4.png	tip_small	963	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_proboscis_only_4.png	cool	883	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_1.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_1.png	tip_small	1375	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_1.png	cool	1762	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_2.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_2.png	tip_small	1375	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_2.png	cool	1762	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_3.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_3.png	tip_small	1375	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_3.png	cool	1762	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_4.png	tip	0	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_4.png	tip_small	1375	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
inset_no_response_4.png	cool	1762	manual review	cropped head/mouth; abdomen and whole-body axis absent; tip omitted
